plaintext,ciphertext
242,97
179,24
177,212
30,130
233,30
54,191
66,187
167,244
52,192
40,198
73,42
58,209
52,32
5,224
181,201
96,124
172,242
214,59
41,141
222,98
167,173
178,163
167,17
154,128
111,101
135,209
30,155
207,59
120,59
10,12
143,76
232,194
252,10
127,55
193,241
204,93
126,39
165,90
166,182
155,97
218,179
80,96
43,21
49,138
39,224
106,214
243,117
120,251
45,226
188,141
49,252
113,193
84,120
153,250
23,48
0,54
173,69
143,176
214,208
80,27
50,116
111,189
12,119
145,117
147,189
247,148
83,134
10,138
178,136
114,54
178,173
213,28
76,111
29,234
231,115
235,110
203,213
17,0
49,146
252,233
80,197
63,2
41,124
105,178
27,153
165,207
81,232
87,66
171,171
63,223
200,45
230,39
234,148
85,36
212,74
128,254
80,71
151,249
226,224
106,128
227,117
23,115
92,46
99,116
81,34
120,235
128,41
122,206
180,96
93,163
186,14
103,186
133,172
124,83
192,219
29,108
32,172
227,205
209,100
225,185
116,37
201,37
6,10
82,38
191,241
135,226
240,68
106,43
218,126
244,93
136,174
134,234
101,166
66,41
108,208
141,77
49,240
61,138
54,126
209,107
65,44
18,85
171,125
149,98
187,70
25,51
244,15
148,87
37,53
84,136
66,39
124,173
167,230
171,57
155,168
147,136
210,148
163,55
6,16
247,22
168,192
45,215
216,85
41,186
6,175
40,10
73,240
24,141
185,160
239,143
154,207
207,42
73,179
77,139
167,48
75,49
95,13
246,3
30,12
156,158
4,42
97,74
33,227
243,155
66,163
77,128
96,203
70,59
141,86
202,186
181,114
209,226
56,19
20,73
179,171
119,251
87,18
108,167
39,167
15,77
59,119
196,39
201,20
114,155
100,103
179,61
77,187
161,235
19,203
190,196
48,180
151,156
65,52
183,17
49,87
96,167
48,194
50,160
19,19
168,116
105,239
43,148
163,114
125,70
182,227
48,101
9,244
198,176
187,128
62,101
94,30
150,100
55,238
226,140
252,227
198,231
51,45
0,204
51,126
159,6
154,73
65,7
213,132
74,213
65,144
81,195
45,109
102,124
34,221
163,7
22,53
90,110
213,85
35,208
193,123
201,195
96,13
247,84
63,132
30,77
148,123
124,117
141,84
244,228
175,90
206,97
217,68
207,195
32,200
251,182
115,245
92,205
88,110
107,147
108,43
135,31
45,201
50,96
134,181
98,94
187,225
19,101
247,127
192,132
174,7
246,199
96,121
146,30
195,246
85,229
113,50
133,200
3,96
34,19
0,146
89,27
193,153
6,181
130,107
245,62
27,2
195,117
68,186
186,35
79,231
62,132
250,172
61,41
79,4
138,138
165,99
143,218
60,151
184,9
250,204
4,62
68,176
40,245
199,0
131,24
111,225
109,79
183,3
32,26
228,19
147,97
156,1
187,57
158,233
178,164
250,39
71,185
200,90
116,112
134,226
203,150
210,172
234,123
102,166
13,85
0,43
234,217
53,193
248,156
130,234
182,163
159,176
122,106
56,85
110,46
146,255
226,239
38,167
114,163
132,216
196,47
85,156
25,158
220,57
30,208
131,201
39,0
235,112
20,149
83,204
82,243
227,201
61,48
120,104
200,159
115,232
135,45
163,42
215,119
80,60
98,146
103,20
3,113
34,55
190,230
14,111
216,182
127,87
106,241
42,64
62,226
128,220
63,53
45,75
33,123
157,88
109,94
162,113
32,191
81,59
211,84
105,105
100,255
115,33
129,177
131,158
64,211
248,14
83,82
105,112
45,212
131,233
222,4
8,214
49,234
40,167
68,91
28,236
254,32
78,42
80,235
162,12
29,138
89,212
99,79
163,94
151,71
212,33
81,132
3,129
16,218
159,142
64,249
247,255
211,231
103,45
227,33
252,136
24,233
146,83
103,159
201,247
87,151
18,63
111,24
164,96
5,129
5,250
27,146
38,73
2,1
164,184
201,201
42,118
185,37
75,10
243,241
72,63
56,126
48,246
73,60
197,200
136,153
104,194
17,134
113,114
67,245
74,95
112,233
76,252
104,217
186,218
90,51
92,161
180,161
64,61
208,238
176,96
6,95
220,157
101,14
133,4
139,38
169,229
73,195
231,17
233,57
180,52
43,206
48,236
206,161
163,231
110,92
237,171
73,47
100,86
132,80
129,9
82,43
211,254
200,251
166,99
75,185
45,20
175,68
145,68
17,71
117,205
255,85
245,221
138,4
181,64
100,208
219,117
74,250
238,131
214,7
87,215
73,62
218,15
181,20
47,98
70,178
60,30
66,67
225,244
255,204
237,249
252,86
193,73
217,227
252,147
63,171
146,156
61,167
0,232
56,179
237,206
56,107
103,50
21,82
214,175
159,172
204,210
245,231
242,223
225,166
99,255
193,196
93,94
16,219
104,151
108,250
91,54
133,21
90,46
250,119
6,186
38,114
157,235
33,90
132,134
251,27
194,173
99,34
224,179
93,232
232,74
76,100
189,114
200,214
83,120
63,189
65,177
253,39
129,181
226,142
99,145
90,227
191,241
131,26
79,23
174,115
205,141
134,159
247,78
135,85
114,57
43,205
255,159
217,146
151,7
190,34
123,83
97,243
85,235
63,162
161,200
175,158
165,243
152,60
19,176
223,41
24,116
23,251
163,209
218,232
161,82
148,227
222,82
10,248
180,190
35,128
124,115
217,81
254,53
10,123
12,33
41,73
75,182
95,211
176,145
176,145
80,179
39,162
65,54
119,102
159,183
38,238
97,242
57,24
82,142
100,235
226,125
78,226
65,171
182,63
214,131
155,85
218,114
123,14
60,182
209,71
87,15
49,181
209,242
66,128
245,82
35,238
12,57
106,14
207,79
136,178
103,231
186,187
214,149
168,51
213,161
16,21
132,252
182,30
153,5
104,153
177,200
248,38
244,213
44,254
124,248
73,241
247,1
206,128
210,27
171,176
203,132
40,15
37,66
220,168
93,154
19,170
12,247
118,229
40,211
155,17
118,223
56,195
128,42
245,77
215,211
201,32
151,116
131,238
143,247
133,129
247,44
237,69
204,87
48,253
111,141
219,30
141,176
22,97
27,209
169,141
50,239
108,144
14,77
59,32
140,74
242,175
187,116
128,186
35,202
243,139
53,21
197,251
133,81
203,89
251,177
208,22
193,230
12,209
121,126
219,57
122,36
58,179
23,179
32,98
144,105
74,247
71,0
77,249
196,173
114,147
105,199
14,10
210,235
205,68
115,140
202,9
213,71
215,46
99,63
179,9
124,197
226,75
129,80
182,216
250,88
3,16
235,87
176,33
51,129
131,138
204,81
217,219
248,86
42,122
136,132
208,76
124,153
147,90
164,220
112,122
57,143
65,102
156,140
137,85
66,140
245,179
117,67
162,194
252,5
145,218
68,253
131,150
70,121
56,188
187,98
108,29
